"Part","Value","Size","Quantity","Manufacturer","Manufacturer part number"
"S","Switch","/","1","CTS","222CMVABR"
"X","Mini-USB connector","/","1","Würth Elektronik","65100516121"
"X","DC-Jack","/","1","Würth Elektronik","694106106102"
"Q","Crystal 25MHz","HC49UP","1","IQD","LFXTAL070480Reel"
"Pinhead","1x06","SMD RM2.54","1","Amphenol FCI","10129380-906002ALF"
"Pinhead","2x2","RM 1.27","2","Würth Elektronik","62200421821"
"Pinhead","2x5","RM 1.27","2","Würth Elektronik","62201021821"
"LED","Yellow","0603","1","Würth Elektronik","150060YS75000"
"LED","Blue","0603","1","Würth Elektronik","150060BS75000"
"LED","Red","0603","2","Würth Elektronik","150060RS75000"
"LED","Green","0603","2","Würth Elektronik","150060VS75000"
"IC","LM1117IMP-3.3","SOT223","1","Texas Instruments","LM1117IMP-3.3/NOPB"
"IC","STM32F446RET6","LQFP64","1","STMicroelectronics","STM32F446RET6"
"IC","FT231XS-R","SSOP20","1","FTDI","FT231XS-R"
"IC","LM2596DSADJG","D˛PAK","1","onsemi","LM2596DSADJG"
"MOD","Protheus-III","/","1","Würth Elektronik","2611011024000"
"D","SK33","DO214AB","4","Micro Comm. Comp.","SK33-TP"
"L","Ferrite","0805","3","Würth Elektronik","742792012"
"L","100ľH","8x8","1","Würth Elektronik","74404086101"
"C","100ľF","8x10.5","1","Panasonic","EEH-ZA1V101V"
"C","680ľF","8x11.9","1","Panasonic","16SVPK680M"
"C","10ľF","1210","5","Würth Elektronik","885012209028"
"C","4.7ľF","0805","1","TDK","C2012X7R1H475K125AC"
"C","1ľF","0805","3","AVX","08051C105K4Z2A"
"C","100nF","0603","15","Würth Elektronik","885012206071"
"C","10nF","0603","2","Würth Elektronik","885012206065"
"C","47pF","0603","2","Würth Elektronik","885012006055"
"C","22pF","0603","2","Würth Elektronik","885012006053"
"C","22pF","0402","1","Würth Elektronik","885012005057"
"R","0R","0805","4","Yageo","RC0805FR-070RL"
"R","27R","0603","2","Yageo","RC0603FR-0727RL"
"R","3.3kR","0603","7","Yageo","RC0603FR-073K3L"
"R","10kR","0603","2","Yageo","RC0603FR-0710KL"
"R","13kR","0603","1","Yageo","RC0603FR-0713KL"
"R","91kR","0603","1","Yageo","RC0603FR-0791KL"
