"Part","Value","Size","Quantity","Manufacturer","Manufacturer part number","Name"
"Pinhead","2x2","SMD RM1.27","2","Würth Elektronik","62100421021","J1-2"
"Pinhead","2x5","SMD RM1.27","2","Würth Elektronik","62101021021","J3-4"
"C","1nF","0603","256","Würth Elektronik","885012006029","C001-256"
"C","100nF","0603","32","Würth Elektronik","885012206071","C257-288"
"IC","74HC595BQ","DHVQFN16 ","32","Nexperia","74HC595BQ,115","IC257-288"
"LED","Green","0603","256","Würth Elektronik","150060VS75000","LED001-256"
"R","0R","0603","301","Yageo","AC0603FR-070RL","R257-557"
"R","1.5kR","0603","256","Yageo","RC0603FR-071K5L","R001-256"
"RF-Switch","BGS12P2L6","TSLP-6","256","Infineon","BGS12P2L6E6327XTSA1","IC001-256"
